CLASE;MARCA;MODELO;DMARCA;DMODELO
901;4;22;Volkswagen;*GOL 91/95 1ßG
901;4;23;Volkswagen;*POINTER 94/96
901;4;24;Volkswagen;*GOL 96/99 3P 2ßG
901;4;25;Volkswagen;*GOL 96/99 5P 2ßG
901;4;26;Volkswagen;*GOLF 94/99 3P
901;4;27;Volkswagen;*GOLF 94/99 5P
901;4;28;Volkswagen;*POLO 96/00
901;4;29;Volkswagen;¯*GOL 99/14 3ß/4ßG 5P
901;4;30;Volkswagen;GOLF 2 Imp
901;4;31;Volkswagen;¯*GOL 99/14 3ß/4ßG 3P
901;4;32;Volkswagen;#¯*GOL 03/06 5P 3ßG L/N
901;4;33;Volkswagen;#¯*GOL 03/06 3P 3ßG L/N
901;4;34;Volkswagen;#¯*GOL 03/06 3¯G POWER 3P
901;4;35;Volkswagen;#¯*GOL 03/06 3¯G POWER 5P
901;4;36;Volkswagen;*SANTANA 03/07
901;4;37;Volkswagen;*FOX 5P 04/10
901;4;38;Volkswagen;*FOX 3P 04/10
901;4;39;Volkswagen;"RABBIT (multipuerta; cabrio)"
901;4;40;Volkswagen;*PASSAT 05/11
901;4;41;Volkswagen;#¯*GOL 06/... 5P 4ßG
901;4;42;Volkswagen;#¯*GOL 06/... 3P 4ßG
901;4;43;Volkswagen;*VENTO 06/10
901;4;44;Volkswagen;*GOLF 07/11 5P
901;4;45;Volkswagen;¯*GOL TREND 5P 08/13 13/16 16/
901;4;46;Volkswagen;*VOYAGE 08/13 13/16 16/19 19/.
901;4;47;Volkswagen;*PASSAT CC 09/12 Y CC 12/...
901;4;48;Volkswagen;*FOX 5P 10/14
901;4;49;Volkswagen;*FOX 3P 10/14
901;4;50;Volkswagen;*VENTO 11/15
901;4;51;Volkswagen;*PASSAT 11/17
901;4;52;Volkswagen;*GOLF 6 5P 11/14
901;4;53;Volkswagen;*THE BEETLE 14/17 Y 17/20
901;4;54;Volkswagen;*GOL TREND 3P 13/16 16/..
901;4;55;Volkswagen;*UP! 5P 14/17 17/...
901;4;56;Volkswagen;*UP! 3P 14/17
901;4;57;Volkswagen;*FOX 5P 15/...
901;4;58;Volkswagen;                    DISPONIBLE
901;4;59;Volkswagen;*GOLF 7 15/17 17/...
901;4;60;Volkswagen;VENTO 15/16 17/18
901;4;61;Volkswagen;*POLO 4P 15/18
901;4;62;Volkswagen;PASSAT 17/... (B8)
901;4;63;Volkswagen;*POLO 5P 18/...
901;4;64;Volkswagen;VIRTUS 18/...
901;4;65;Volkswagen;VENTO 18/...
901;4;66;Volkswagen;NIVUS 20/...
901;5;1;Ford;*FALCON 60/70/72/75/78/82/91
901;5;2;Ford;TAUNUS 75/80 Y 80/90
901;5;3;Ford;*SIERRA 5P
901;5;4;Ford;FAIRLANE
901;5;5;Ford;GRANADA
901;5;6;Ford;LASER
901;5;7;Ford;*ESCORT 97/03 4/5P
901;5;8;Ford;MONDEO 4/5P 94/97 y 97/01
901;5;9;Ford;TAURUS
901;5;10;Ford;FESTIVA
901;5;11;Ford;*ESCORT 88/95
901;5;12;Ford;*GALAXY 91/95
901;5;13;Ford;*ORION 94/97
901;5;14;Ford;*FIESTA 1ß 5P 94/96
901;5;15;Ford;*FIESTA 1ß 3P 94/96
901;5;16;Ford;MONDEO 01/04 y 04/07
901;5;17;Ford;*FIESTA 4ß 5-4P 02/07 07/10 10
901;5;18;Ford;*KA 02/08
901;5;19;Ford;#*FOCUS XR 02/...
901;5;20;Ford;*KA 97/02
901;5;21;Ford;*FIESTA 2ß 96/99 3P
901;5;22;Ford;*FIESTA 2ß 96/99 5P
901;5;23;Ford;*FIESTA 3ß 99/02 5P
901;5;24;Ford;*FOCUS 02/03 03/10 4/5P
901;5;25;Ford;*FIESTA 3ß 99/02 3P
901;5;26;Ford;*FOCUS 99/02 4/5P
901;5;27;Ford;COUPE 1947
901;5;28;Ford;CONTOUR
901;5;29;Ford;A
901;5;30;Ford;COURRIER 1957
901;5;31;Ford;SIERRA 4P (IMP)
901;5;32;Ford;SCORPIO 5P
901;5;33;Ford;TIERRA
901;5;34;Ford;TORINO
901;5;35;Ford;FORD 1930
901;5;36;Ford;FAIRMONT 80
901;5;37;Ford;FORD '38
901;5;38;Ford;CROWN VICTORIA
901;5;39;Ford;TEMPO
901;5;40;Ford;*MONDEO 07/11 Y 11/14
901;5;41;Ford;*KA 08/11 Y 11/15
901;5;42;Ford;MERCURY COUGAR
901;5;43;Ford;*FOCUS II 4/5P 08/13
901;5;44;Ford;GALAXIE TOWN
901;5;45;Ford;CORCEL
901;5;46;Ford;*FIESTA KI 4/5P 10/13 13/19
901;5;47;Ford;*FOCUS III 4/5P 13/15
901;5;48;Ford;FIESTA 4ß 02/10 3P IMP
901;5;49;Ford;ASPIRE
901;5;50;Ford;*MONDEO 15/17 17/19 19/...
901;5;51;Ford;*FOCUS III 4P 15/...
901;5;52;Ford;*FOCUS III 5P 15/...
901;5;53;Ford;*KA 5P 16/18
901;5;54;Ford;KA+ 4P 17/18
901;5;55;Ford;KA 5P 18/...
901;5;56;Ford;KA+ 4P 18/...
901;5;57;Ford;FUSION
901;6;1;Chevrolet;CHEVROLET 400
901;6;2;Chevrolet;*CHEVY
901;6;3;Chevrolet;MONZA 4P
901;6;4;Chevrolet;CHEVETTE 4P
901;6;5;Chevrolet;KADETT
901;6;6;Chevrolet;OMEGA
901;6;7;Chevrolet;*CORSA 2 02/07 07/11 4P
901;6;8;Chevrolet;*CORSA 2 02/07 07/11 5P
901;6;9;Chevrolet;#MONZA 2P
901;6;10;Chevrolet;#CHEVETTE 2P
901;6;11;Chevrolet;*ASTRA 99/03 4P
901;6;12;Chevrolet;GEO PRIZM
901;6;13;Chevrolet;*CORSA 3P 94/99 99/08 08/11
901;6;14;Chevrolet;*CORSA 5P 94/99 99/07
901;6;15;Chevrolet;*VECTRA 96/99 99/06
901;6;16;Chevrolet;*CORSA 4P 94/99 99/08 08/16
901;6;17;Chevrolet;DE LUX 50?
901;6;18;Chevrolet;*ASTRA 03/12 4/5P
901;6;19;Chevrolet;ASTRA 94/98 4/5P
901;6;20;Chevrolet;OPALA
901;6;21;Chevrolet;BEL AIR (1957)
901;6;22;Chevrolet;IMPALA
901;6;23;Chevrolet;CAVALIER
901;6;24;Chevrolet;STD 1939
901;6;25;Chevrolet;NOVA
901;6;26;Chevrolet;CITATION
901;6;27;Chevrolet;CORSICA
901;6;28;Chevrolet;CHEVELLE
901;6;29;Chevrolet;CAPRICE
901;6;30;Chevrolet;BISCAYNE
901;6;31;Chevrolet;MALIBU
901;6;32;Chevrolet;*VECTRA 4/5P 06/09 09/11
901;6;33;Chevrolet;VECTRA 94/96
901;6;34;Chevrolet;FLEETMASTER 1947
901;6;35;Chevrolet;CELEBRITY
901;6;36;Chevrolet;*SPARK 08/11
901;6;37;Chevrolet;#AVEO 08/...
901;6;38;Chevrolet;*AGILE 09/13 Y 13/16
901;6;39;Chevrolet;*CRUZE 4/5P 10/11/13/14/15/16
901;6;40;Chevrolet;#CELTA 11/...3P/5P
901;6;41;Chevrolet;*AVEO 08/11 Y 11/15
901;6;42;Chevrolet;*SPARK 11/13 Y 13/17
901;6;43;Chevrolet;PRISMA 11/13
901;6;44;Chevrolet;*CELTA 11/15 5P
901;6;45;Chevrolet;*CELTA 11/15 3P
901;6;46;Chevrolet;#CRUZE 5P 11/...
901;6;47;Chevrolet;*SONIC 4/5P 12/17
901;6;48;Chevrolet;*COBALT 13/16 16/18 18/20
901;6;49;Chevrolet;*ONIX/PRISMA 13/16 Y JOY 16/19
901;6;50;Chevrolet;*CRUZE II 4P 16/19 Y 19/20 20/
901;6;51;Chevrolet;*ONIX/PRISMA 17/19 Y JOY 19/..
901;6;52;Chevrolet;CRUZE II 5P 16/19 Y 19/20..
901;6;53;Chevrolet;ONIX 5P/ONIX PLUS 4P 19/...
901;7;1;Alfa Romeo;145 96/97 97/99
901;7;2;Alfa Romeo;*146 96/97 97/99
901;7;3;Alfa Romeo;155 92/97
901;7;4;Alfa Romeo;156 98/05
901;7;5;Alfa Romeo;*164 91/97
901;7;6;Alfa Romeo;33 90/95
901;7;7;Alfa Romeo;75 88/92
901;7;8;Alfa Romeo;GIULIETTA VIEJA
901;7;9;Alfa Romeo;145 99/01
901;7;10;Alfa Romeo;146 99/01
901;7;11;Alfa Romeo;166 99/05
901;7;12;Alfa Romeo;147 3P 02/07 y 07/11
901;7;13;Alfa Romeo;147 5P 02/07 y 07/11
901;7;14;Alfa Romeo;90
901;7;15;Alfa Romeo;ALFASUD 3P
901;7;16;Alfa Romeo;156 05/06
901;7;17;Alfa Romeo;159 06/...
901;7;18;Alfa Romeo;ALFETTA
901;7;19;Alfa Romeo;ALFASUD 4P
901;7;20;Alfa Romeo;RIO
901;7;21;Alfa Romeo;MITO 09/19
901;7;22;Alfa Romeo;GIULIETTA 10/17 Y 17/...
901;7;23;Alfa Romeo;TZ1
901;7;24;Alfa Romeo;GIULIA 17/...
901;7;25;Alfa Romeo;GIULIA 62/77
901;7;26;Alfa Romeo;------DISPONIBLE-------
901;9;1;Citroen / DS;11
901;9;2;Citroen / DS;*2CV
901;9;3;Citroen / DS;*3CV
901;9;4;Citroen / DS;AMI 6/8
901;9;5;Citroen / DS;GS
901;9;6;Citroen / DS;CX
901;9;7;Citroen / DS;*SAXO 3 PTAS 97/05
901;9;8;Citroen / DS;SAXO 5 PTAS 97/05
901;9;9;Citroen / DS;VISA
901;9;10;Citroen / DS;XANTIA 94/98
901;9;11;Citroen / DS;*XSARA 98/01
901;9;12;Citroen / DS;*XSARA 2 01/06
901;9;13;Citroen / DS;*ZX 5 PTAS 93/98
901;9;14;Citroen / DS;ZX 3 PTAS 93/98
901;9;15;Citroen / DS;XANTIA 2 98/01
901;9;16;Citroen / DS;XM 94/98
901;9;17;Citroen / DS;C5 02/05
901;9;18;Citroen / DS;AX 3P 94/96
901;9;19;Citroen / DS;AX 5P 94/96
901;9;20;Citroen / DS;BX 94/98
901;9;21;Citroen / DS;*C3 03/08 y 08/12
901;9;22;Citroen / DS;MEHARI / SAFARI
901;9;23;Citroen / DS;C5 05/09
901;9;24;Citroen / DS;*C4 4P 07/13
901;9;25;Citroen / DS;C6 07/12
901;9;26;Citroen / DS;*C4 5P 08/12
901;9;27;Citroen / DS;*C5 09/13
901;9;28;Citroen / DS;*DS3 11/16 16/20
901;9;29;Citroen / DS;*DS4 12/16
901;9;30;Citroen / DS;*C3 II 12/16 16/21
901;9;31;Citroen / DS;*C4 LOUNGE 4P 13/18 Y 18/22
901;9;32;Citroen / DS;*C-ELYSêE 16/21
901;9;33;Citroen / DS;DS4 5P CROSSBACK 17/18
901;9;34;Citroen / DS;C4 II IMPORTADO 5P
901;9;35;Citroen / DS;DS4 5P 17/18
901;9;36;Citroen / DS;DS4 5P 22/...
901;9;37;Citroen / DS;NEW C3 22/..
901;9;38;Citroen / DS;DS3 CROSSBACK 22/..
901;9;39;Citroen / DS;DS9 22/....
901;10;1;Toyota;*COROLLA 99/02
901;10;2;Toyota;CORONA 80/88
901;10;3;Toyota;COROLLA 95/97
901;10;4;Toyota;CORONA 92/97 97/98
901;10;5;Toyota;CAMRY 92/96
901;10;6;Toyota;CARINA 80
901;10;7;Toyota;CORONA 98/00 00/03
901;10;8;Toyota;COROLLA 97/99 4P FARO RED
901;10;9;Toyota;*COROLLA 02/05 05/08
901;10;10;Toyota;COROLLA 79/83 3/5P
901;10;11;Toyota;COROLLA 89/95
901;10;12;Toyota;TERCEL
901;10;13;Toyota;CROWN
901;10;14;Toyota;STARLET 3/5P
901;10;15;Toyota;COROLLA 97/99 3P FARO RED
901;10;16;Toyota;CRESSIDA
901;10;17;Toyota;AVALON 95/99
901;10;18;Toyota;CAMRY 87/91
901;10;19;Toyota;CAMRY 03/06
901;10;20;Toyota;CAMRY 97/02
901;10;21;Toyota;CAMRY 83/86
901;10;22;Toyota;AVALON 00/04
901;10;23;Toyota;YARIS 4P 03/06
901;10;24;Toyota;YARIS 5P 99/06
901;10;25;Toyota;*CAMRY 06/12
901;10;26;Toyota;AVENSIS 07/10
901;10;27;Toyota;*COROLLA 08/11 11/14
901;10;28;Toyota;*PRIUS 09/12 Y 12/16
901;10;29;Toyota;*CAMRY 12/16 16/18
901;10;30;Toyota;*ETIOS 4/5P 13/17 17/...
901;10;31;Toyota;*COROLLA 14/17 17/20
901;10;32;Toyota;*YARIS 16/18 5P
901;10;33;Toyota;PRIUS 16/19
901;10;34;Toyota;AYGO 07/...
901;10;35;Toyota;COROLLA 5P 2006 IMPORTADO
901;10;36;Toyota;CAMRY 17/...
901;10;37;Toyota;YARIS 18/22 Y 22/... 5P
901;10;38;Toyota;YARIS 18/22 Y 22/... 4P
901;10;39;Toyota;COROLLA 20/...
901;10;40;Toyota;PRIUS 19/...
901;10;41;Toyota;C-HR 20/...
901;10;42;Toyota;AURIS
901;11;1;Seat;*CORDOBA 94/99
901;11;2;Seat;*IBIZA 5P 94/99
901;11;3;Seat;TOLEDO 94/98
901;11;4;Seat;*LEON 01/04
901;11;5;Seat;*IBIZA 3P 94/99
901;11;6;Seat;*CORDOBA 99/04
901;11;7;Seat;*IBIZA 5P 99/04
901;11;8;Seat;*IBIZA 3P 99/04
901;11;9;Seat;TOLEDO 98/04
901;11;10;Seat;AROSA 99/00
901;11;11;Seat;MARBELLA
901;11;12;Seat;*IBIZA 3P 04/09
901;11;13;Seat;*IBIZA 5P 04/09
901;11;14;Seat;*CORDOBA 03/10
901;11;15;Seat;MALAGA
901;11;16;Seat;1500
901;11;17;Seat;*LEON 07/11
901;11;18;Seat;TOLEDO 07/11
901;11;19;Seat;IBIZA 5P 10/...
901;11;20;Seat;IBIZA 3P 10/...
901;11;21;Seat;#TOLEDO 07/...
901;12;1;Audi;100 y 200
901;12;2;Audi;5000
901;12;3;Audi;80
901;12;4;Audi;*A3 98/00 Y 00/04 3P
901;12;5;Audi;A4 97/01
901;12;6;Audi;A6 97/01 y 01/05
901;12;7;Audi;A8 97/07
901;12;8;Audi;QUATTRO ' 80
901;12;9;Audi;*A3 99/00 Y 00/04 5P
901;12;10;Audi;S3 00/04
901;12;11;Audi;S4 97/02 8D
901;12;12;Audi;A4 01/05
901;12;13;Audi;*A3 04/09 09/13 3P
901;12;14;Audi;*A3 SPORTBACK 04/09 09/13 5P
901;12;15;Audi;*A4 05/08
901;12;16;Audi;A6 05/11
901;12;17;Audi;A8 07/19
901;12;18;Audi;S3 07/12 3/5P
901;12;19;Audi;A6 94/97
901;12;20;Audi;*A4 08/13 13/16
901;12;21;Audi;RS6 09/...
901;12;22;Audi;RS6 01/05
901;12;23;Audi;S4 03/05 8E
901;12;24;Audi;S4/RS4 05/09 8E
901;12;25;Audi;S4 09/12 8K
901;12;26;Audi;*A1 11/19 3P
901;12;27;Audi;A5 10/12 Y 12/17 5P
901;12;28;Audi;A7 11/19
901;12;29;Audi;A1 11/19 5P
901;12;30;Audi;A3 13/17 17/20 3P
901;12;31;Audi;A3 13/17 17/20 5P SPORTBACK
901;12;32;Audi;A3 13/17 17/20 4P
901;12;33;Audi;A4 16/...
901;12;34;Audi;A6 12/19
901;12;35;Audi;S3 16/... 4P
901;12;36;Audi;A5/S5 17/... 5P
901;12;37;Audi;S3 17/....5P
901;12;38;Audi;RS 3 SPORTBACK 17/...
901;12;39;Audi;S4 12/16 8K
901;12;40;Audi;S4 17/... 8W
901;12;41;Audi;A6 19/...
901;12;42;Audi;A7 19/...
901;12;43;Audi;A8 19/...
901;12;44;Audi;A3 20/...
901;12;45;Audi;A1 5P 19/...
901;13;1;Chrysler / Jeep;NEON 96/00
901;13;2;Chrysler / Jeep;STRATUS / BREEZE
901;13;3;Chrysler / Jeep;*SPIRIT
901;13;4;Chrysler / Jeep;SHADOW
901;13;5;Chrysler / Jeep;#*SPIRIT
901;13;6;Chrysler / Jeep;INTREPID
901;13;7;Chrysler / Jeep;NEON 00/03
901;13;8;Chrysler / Jeep;SEBRING
901;13;9;Chrysler / Jeep;300M
901;13;10;Chrysler / Jeep;WINDSOR
901;13;11;Chrysler / Jeep;NEW YORKER
901;13;12;Chrysler / Jeep;300C 06/11
901;13;13;Chrysler / Jeep;300C 13/...
901;14;1;Rover;SERIE 400 96/01 4/5P
901;14;2;Rover;SERIE 200 3P 92/96
901;14;3;Rover;*SERIE 200 4/5P 92/96
901;14;4;Rover;SERIE 600 93/01
901;14;5;Rover;SERIE 400 92/96
901;14;6;Rover;MAESTRO
901;14;7;Rover;MINI 79/83
901;14;8;Rover;SERIE 800 92/00
901;14;9;Rover;SERIE 25 01/04
901;14;10;Rover;SERIE 45 4P 01/04
901;14;11;Rover;SERIE 45 5P 01/04
901;14;12;Rover;SERIE 75 01/04
901;14;13;Rover;SERIE 200 5P 96/01
901;14;14;Rover;SERIE 200 3P 96/01
901;14;15;Rover;114
901;15;1;Rambler;AMBASSADOR
901;15;2;Rambler;CLASSIC
901;15;3;Rambler;CUSTOM
901;16;1;Torino;*TORINO
901;17;1;Dodge / RAM;1500
901;17;2;Dodge / RAM;POLARA
901;17;3;Dodge / RAM;CORONADO
901;17;4;Dodge / RAM;DODGE 35
901;17;5;Dodge / RAM;GT
901;17;6;Dodge / RAM;SEDAN 1947
901;17;7;Dodge / RAM;OMNI
901;17;8;Dodge / RAM;AVENGER
901;17;9;Dodge / RAM;VALIANT 70
901;17;10;Dodge / RAM;CHARGER
901;18;1;Dacia;*TLX
901;18;2;Dacia;325 NOVA
901;18;3;Dacia;524
901;18;4;Dacia;SANDERO
901;19;1;Daewoo;CIELO
901;19;2;Daewoo;ESPERO
901;19;3;Daewoo;LANOS 3P
901;19;4;Daewoo;LANOS 4P
901;19;5;Daewoo;LANOS 5P
901;19;6;Daewoo;LEGANZA
901;19;7;Daewoo;*MATIZ
901;19;8;Daewoo;NUBIRA
901;19;9;Daewoo;RACER 3/4P
901;19;10;Daewoo;TICO 92/01
901;19;11;Daewoo;PRINCE
901;19;12;Daewoo;CHAIRMAN
901;20;1;Di Tella;DI TELLA
901;21;1;Valiant;VALIANT
901;21;2;Valiant;VALIANT III
901;21;3;Valiant;VALIANT IV
901;21;4;Valiant;VALIANT V
901;22;1;Volvo;240/244/264 ?80
901;22;2;Volvo;850 93/97
901;22;3;Volvo;*940/960 91/01
901;22;4;Volvo;S40 97/05
901;22;5;Volvo;S70 97/00
901;22;6;Volvo;S80 98/03 03/07
901;22;7;Volvo;S60 12/...
901;22;8;Volvo;740/760
901;22;9;Volvo;#780 2P
901;22;10;Volvo;345 ?80
901;22;11;Volvo;460
901;22;12;Volvo;PV 444 1956
